name,address,latitude,longitude,hours,website,phone,nearestSpot,nearestSpotCounty
The Pot Bar,Legavallion Road,54.977413,-6.833046,Check local listings,,,Drumsurn,
Denny Matty's,"Main Street, Ballydesmond",52.179904,-9.238024,Check local listings,,,Ballydesmond,Cork
John D's Bar,"Main Street, Ballydesmond",52.179868,-9.237445,Check local listings,,,Ballydesmond,Cork
Con's Bar,"Main Street, Castleisland",52.230641,-9.464184,"Mo,Tu 12:00-24:00, We 12:00-21:00, Th-Su 12:00-24:00",,,Castleisland,Kerry
Hickey's Bar,"91, Main Street, Castleisland",52.231245,-9.463209,Check local listings,,,Castleisland,Kerry
The Crumb,"Main Street, Castleisland",52.232567,-9.460511,We-Sa 09:00-16:00; Su-Tu off,,,Castleisland,Kerry
The Shoemaker Bar,"Main Street, Castleisland",52.23091,-9.463791,Check local listings,,,Castleisland,Kerry
Tom McCarthy,"40, Main Street, Castleisland",52.231553,-9.463285,"Mo-Th 10:30-24:00, Fr,Sa 10:30-01:00, Su 10:30-23:30",,,Castleisland,Kerry
The Rest Pub,,51.912742,-8.570692,Check local listings,,,Kerry Pike,
Muskerry Arms,The Square,51.933148,-8.567721,"Su 12:30-23:00, Mo-Th 11:00-23:30, Fr-Sa 11:00-00:30",http://www.muskerryarms.com,00353214285200,Blarney,
The Lions Den,,51.939016,-8.627859,Check local listings,,,Tower,
Well Bar,,52.100089,-8.773978,Check local listings,,,Lombardstown,
Browne's Bar,,51.978334,-8.615676,Check local listings,,,Courtbrack,
Crowleys,,52.111156,-8.783081,Check local listings,,,Lombardstown,
Curtin,,52.130818,-9.012886,Check local listings,,,Dernagree,
J Kelleher,,52.159352,-9.070587,Check local listings,,,Boherbue,
The Corner House Bar,,52.158839,-9.068565,Check local listings,,,Boherbue,
The Harp & Shamrock,,52.175967,-9.1563,Check local listings,,,Kiskeam,
The Why Not,,52.175719,-9.155115,Check local listings,,,Kiskeam,
The Bridge House,"Ballydaheen East, Mallow",52.132094,-8.641055,Check local listings,,,Mallow,Cork
O’Connaigh,"Church Street, Cork",51.903306,-8.476864,Check local listings,,,Shandon,
Eugene’s,"33, Shandon Street, Cork",51.903038,-8.478135,Check local listings,,,Shandon,
An Sibin,,51.947907,-8.659672,Check local listings,,,Matehy,Cork
Strand,,51.952535,-8.655885,Check local listings,,,Matehy,Cork
The Two Sisters,,53.309119,-6.305349,Check local listings,,,Kimmage,
The Wicked Wolf,"2, Main Street, Blackrock",53.301926,-6.178001,Mo-Th 10:30-23:30; Fr-Sa 10:30-01:30; Su 12:00-23:00,,+353-1-283-6424,Blackrock,Dublin
The Portobello Bar,"33, Richmond Street South, Dublin",53.33035,-6.264095,Check local listings,https://theportobellobar.com/,,Portobello,
The Hill,"1, Old Mountpleasant, Ranelagh",53.326662,-6.25838,Check local listings,https://www.thehillpub.ie/,,Ranelagh,Dublin
Morrissey's,,53.336845,-6.287695,Check local listings,,,Dolphin's Barn,Dublin
Hamlet Pub,,53.613517,-6.206737,Check local listings,,,Balbriggan,Dublin
The Craftsman,,52.249894,-7.139194,Check local listings,,,Waterford,
Inniscarra Bar,,51.89263,-8.623489,Check local listings,,,West Village,
Michael Peter's Pub,,54.099188,-8.250229,Check local listings,,,Ballyfarnan,
Paddy's Bar,,54.099016,-8.250711,Check local listings,,,Ballyfarnan,
Fitzsimon's,"21-22, Wellington Quay, Dublin",53.345471,-6.265117,Check local listings,https://www.fitzsimonsbar.ie/,,Dublin,
Anthony's,,52.38764,-7.343913,Check local listings,,,Owning,Kilkenny
Edenmore House,"Edenmore Avenue, Raheny",53.388262,-6.183413,Check local listings,,,Raheny,Dublin
The Concorde,"Edenmore Avenue, Raheny",53.388899,-6.180986,Check local listings,,,Raheny,Dublin
